City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Hutchinson,US,38.0608,-97.9298,35.55,32,20,16.11,few clouds
339,Naco,MX,31.3347,-109.9483,60.89,37,44,18.59,scattered clouds
340,Gadsden,US,34.0143,-86.0066,50.23,44,0,14.97,clear sky
341,Dover,US,39.1582,-75.5244,48.99,40,0,13.8,clear sky
342,Brenham,US,30.1669,-96.3977,53.51,52,100,4.61,overcast clouds
343,Riverton,US,40.5219,-111.9391,50.49,19,0,13.8,clear sky
344,Carbondale,US,37.7273,-89.2168,32.0,51,40,16.11,scattered clouds
345,Powell,US,40.1578,-83.0752,23.36,64,100,23.02,overcast clouds
346,Merritt Island,US,28.5392,-80.672,78.04,79,100,16.11,overcast clouds
347,Leander,US,30.5788,-97.8531,53.29,42,0,3.0,clear sky
348,Baton Rouge,US,30.4508,-91.1545,52.12,48,100,6.91,overcast clouds
349,Cleburne,US,32.3476,-97.3867,54.03,31,0,12.66,clear sky
350,Sun City West,US,33.662,-112.3413,74.23,22,40,5.75,scattered clouds
351,Monclova,MX,26.9,-101.4167,45.05,67,99,4.0,overcast clouds
352,Rodeo,US,38.033,-122.2669,67.24,69,0,6.91,clear sky
353,Laredo,US,27.5064,-99.5075,46.69,66,100,13.8,overcast clouds
